site,huc_cd,long,lat,flow_data_1998-2018,temp_data_1998-2018,gage_ht_data_1998-2018,sed_mgl_data_1998-2018,nutrient_data_1962-2019,organics_data_1970-2019,site_description
7277500,8030204,-89.9889794,34.72065667,0,0,0,0,0,0,Coldwater River near Coldwater MS
7277548,8030204,-89.8214767,34.6167691,0,0,0,0,1156,156,James Wolf Creek near Looxahoma MS 
7277700,8030204,-89.9244444,34.63194444,4747,0,2176,2190,2718,1161,Hickahala Creek near Senatobia MS 
7277730,8030204,-89.9413889,34.61666667,1460,0,0,0,2721,1067,Senatobia Creek near Senatobia MS 
7278000,8030204,-90.12426,34.75732244,0,0,0,0,0,0,Arkabutla Lake near Arkabutla MS
7278500,8030204,-90.12426,34.75732244,0,0,0,0,36,0,Coldwater River at Arkabutla Dam MS 
7279500,8030204,-90.2303611,34.6307222,0,0,0,0,0,0,Coldwater River at Savage MS 
7279800,8030204,-90.2581494,34.4389962,0,0,0,0,52,94,Coldwater River (Pompey Ditch) near Sledge MS 
7279850,8030204,-90.2898165,34.3609421,287,0,0,0,0,0,Old Coldwater River near Birdie MS 
7279937,8030204,-90.2339822,34.4206633,0,0,0,0,122,99,David Bayou near Sledge MS 
7279950,8030204,-90.2659263,34.2562224,0,0,0,0,269,189,Coldwater River at Marks MS 
7280000,8030202,-90.2153694,34.1806676,0,0,0,0,42,0,Tallahatchie River near Lambert MS 
7280270,8030202,-89.9534225,33.99455758,0,0,0,0,56,0,Tillatoba Creek below Oakland MS 
7280340,8030202,-89.9792558,33.97844676,0,0,0,0,36,0,South Fork Tillatoba Creek near Charleston MS 
7280400,8030202,-90.065,34,3652,0,3626,0,56,0,Tillatoba Creek at Charleston MS 
7281600,8030202,-90.2111111,33.65138889,7651,1752,7594,0,266,22,Tallahatchie River at Money MS 
7281960,8030205,-89.1730556,33.8661111,4881,0,4743,1458,0,0,Yalobusha River at Vardaman MS
7281977,8030205,-89.2758333,33.83805556,4531,0,0,1974,0,0,Yalobusha River at Derma MS
7282000,8030205,-89.3155556,33.8386111,4230,0,6955,99,0,0,Yalobusha River and Topashaw Creek Canal at Calhoun City MS
7282075,8030205,-89.1786111,33.75805556,4880,0,0,1365,0,0,Topashaw Creek Canal near Hohenlinden MS
7282090,8030205,-89.2469444,33.78,4897,0,4487,1975,0,0,Topashaw Creek Canal near Derma MS
7282100,8030205,-89.3458333,33.8147222,4361,0,6737,99,130,82,Topashaw Creek Canal near Calhoun City MS
7282500,8030205,-89.6150817,33.81622687,0,0,0,0,3,0,Yalobusha River at Graysport MS
7283000,8030205,-89.3477778,33.9736111,7668,641,7574,0,465,711,Skuna River at Bruce MS
7283500,8030205,-89.6417503,33.90983614,0,0,0,0,0,0,Skuna River near Coffeeville MS
7284500,8030205,-89.7706417,33.8087265,0,0,0,0,0,0,Grenada Lake near Grenada MS
7285000,8030205,-89.7706417,33.8087265,0,0,0,0,0,0,Yalobusha R at Grenada Dam near Grenada MS
7285400,8030205,-89.7875859,33.77400485,520,0,0,0,1471,833,Batupan Bogue at Grenada MS
7285500,8030205,-89.8097222,33.78777778,7627,0,4625,0,72,104,Yalobusha River at Grenada MS
7285510,8030205,-89.8097222,33.78777778,0,0,0,0,0,0,YALOBUSHA RIVER AT NSI INTAKE AT GRENADA MS--published under 07285500
7285900,8030205,-89.9967552,33.91705857,0,0,0,0,0,0,Askalmore Creek at Retention Dam near Cascilla MS
7286000,8030205,-90.069533,33.91816975,0,0,0,0,0,0,Askalmore Creek near Charleston MS
7287000,8030206,-90.1816667,33.52444444,0,0,0,0,90,162,Yazoo River at Greenwood MS
7287120,8030206,-90.2720286,33.39678846,0,0,0,0,1112,920,Yazoo River near Shell Bluff MS
7287150,8030206,-90.1513889,33.34,4381,0,4272,2190,1505,543,Abiaca Creek near Seven Pines MS
7287160,8030206,-90.2372222,33.34166667,0,0,5357,2190,1497,588,Abiaca Creek at Cruger MS
7287355,8030206,-90.1961111,33.13805556,1460,0,0,365,2517,1009,Fannegusha Creek near Howard MS
7287400,8030206,-90.0533333,33.10527778,4747,0,0,0,948,131,Black Creek at Lexington MS
7287404,8030206,-90.1734194,33.10179419,1598,0,0,1095,2514,1017,Harland Creek near Howard MS
7287405,8030206,-90.191197,33.1195715,730,0,0,365,964,134,Black Creek at Howard MS
7288000,8030207,-90.575099,34.19733086,727,772,0,0,404,169,Big Sunflower River at Clarksdale MS
7288200,8030207,-90.610651,33.88177916,0,0,0,0,29,0,Big Sunflower River near Lombardy MS
7288280,8030207,-90.67,33.8325,7662,730,7518,0,189,49,Big Sunflower River near Merigold MS
7288500,8030207,-90.5431441,33.5473397,5843,3005,5807,0,427,168,Big Sunflower River at Sunflower MS
7288555,8030207,-90.5194444,33.7133333,0,0,0,0,230,22,Quiver River Southeast Ruleville MS
7288650,8030207,-90.8477778,33.39666667,7269,2896,7258,0,6270,50107,Bogue Phalia near Leland MS
7288700,8030207,-90.7778758,32.9717936,779,0,0,0,378,1812,Big Sunflower River near Anguilla MS
7288938,8030209,-90.8903333,32.45716667,0,0,0,0,20,1,Steele Bayou Floodgate (Landside) near Redwood MS
7288955,8030208,-90.9141667,32.44416667,6849,0,2487,0,7895,51036,Yazoo River below Steele Bayou near Long Lake MS
728862211,8030207,-90.5102778,33.35777778,0,0,0,0,754,1151,Browns Bayou near Inverness MS
728875070,8030209,-90.8919444,33.4011111,4315,5953,5956,0,26,169,Deer Creek East of Leland MS
3.24E+14,8030100,-91.0130556,32.72277778,0,0,0,0,78,0,Steele Bayou Tributary No 28 near Fitler MS
3.31E+14,8030209,-91.0975,33.09666667,0,0,0,0,2372,280,Lake Washington Tributary at Stein Road near Chatham MS
