#
# National Water Information System
# 2019/03/30
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	epa_equivalence	result_statistical_basis	result_time_basis	result_weight_basis	result_particle_size_basis	result_sample_fraction	result_temperature_basis	CASRN	SRSName	parm_unit
5s	13s	134s	26s	14s	7s	3s	14s	12s	0s	10s	40s	10s
62159	Radiochemical	Americium-241 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		14596-10-2	Americium-241	pCi/L
62160	Radiochemical	Lead-210 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		14255-04-0	Lead-210	pCi/L
62161	Radiochemical	Radium-226 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		13982-63-3	Radium-226	pCi/L
62162	Radiochemical	Radium-228 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		15262-20-1	Radium-228	pCi/L
62163	Radiochemical	Strontium-90 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		10098-97-2	Strontium-90	pCi/L
62164	Radiochemical	Gross gamma radioactivity, water, unfiltered, picocuries per liter	USGS use and no use by EPA					Total		 	Gamma radiation	pCi/L
62165	Radiochemical	Gross gamma radioactivity 2-sigma combined uncertainty, water, unfiltered, picocuries per liter	USGS use and no use by EPA	2-Sigma CSU				Total		 	Gamma radiation	pCi/L
62487	Radiochemical	Lead-210, sediment, dry weight, becquerels per gram	USGS use and no use by EPA			Dry				14255-04-0	Lead-210	bq/g
62488	Radiochemical	Lead-210 1-sigma precision estimate, sediment, dry weight, becquerels per gram	USGS use and no use by EPA	1-Sigma CSU		Dry				14255-04-0	Lead-210	bq/g
62489	Radiochemical	Lead-210, soil, dry weight, becquerels per gram	USGS use and no use by EPA			Dry		Total		14255-04-0	Lead-210	bq/g
